site,x,y,z
V0242,564939.9091909033,3337540.371034871,472.8795471191406
V0243,544389.9091909033,3337510.371034871,582.3508911132812
V0244,560319.9091909033,3337510.371034871,661.914306640625
V0245,571899.9091909033,3337510.371034871,429.5479736328125
V0246,590289.9091909033,3337510.371034871,573.9793701171875
V0247,615549.9091909033,3337510.371034871,1460.8409423828125
V0248,671919.9091909033,3337480.371034871,1297.0704345703125
V0249,636999.9091909033,3337450.371034871,801.3084716796875
V0250,549639.9091909033,3337420.371034871,311.30035400390625
V0251,597279.9091909033,3337420.371034871,630.4894409179688
V0252,582189.9091909033,3337360.371034871,455.7715759277344
V0253,619479.9091909033,3337330.371034871,575.7901000976562
V0254,652449.9091909033,3337330.371034871,937.33154296875
V0255,662049.9091909033,3337300.371034871,441.51190185546875
V0256,567759.9091909033,3337270.371034871,723.6279907226562
V0257,569439.9091909033,3337270.371034871,568.7505493164062
V0258,575499.9091909033,3337270.371034871,543.9010009765625
V0259,608019.9091909033,3337270.371034871,1089.5211181640625
V0260,612969.9091909033,3337240.371034871,1221.8616943359375
V0261,622239.9091909033,3337210.371034871,430.861572265625
V0262,635499.9091909033,3337210.371034871,968.1495361328125
V0263,670509.9091909033,3337210.371034871,779.9910278320312
V0264,647739.9091909033,3337180.371034871,533.184326171875
V0265,604509.9091909033,3337150.371034871,442.36480712890625
V0266,617439.9091909033,3337090.371034871,1136.2987060546875
V0267,609759.9091909033,3336970.371034871,1483.501220703125
V0268,555129.9091909033,3336940.371034871,484.47198486328125
V0269,580119.9091909033,3336940.371034871,363.16387939453125
V0270,650169.9091909033,3336940.371034871,874.274169921875
V0271,635169.9091909033,3335590.371034871,850.4887084960938
V0272,642669.9091909033,3335590.371034871,551.7928466796875
V0273,649839.9091909033,3335590.371034871,969.2156982421875
V0274,570219.9091909033,3335560.371034871,509.31256103515625
V0275,597159.9091909033,3335500.371034871,584.9107055664062
V0276,647859.9091909033,3335500.371034871,705.4003295898438
V0277,654639.9091909033,3335500.371034871,630.3312377929688
V0278,607929.9091909033,3335410.371034871,874.630126953125
V0279,632949.9091909033,3335410.371034871,760.7171020507812
V0280,575139.9091909033,3335380.371034871,436.10125732421875
V0281,617019.9091909033,3335380.371034871,1214.4932861328125
V0282,662229.9091909033,3335380.371034871,430.52032470703125
V0283,567609.9091909033,3335290.371034871,793.9727783203125
V0284,627999.9091909033,3335290.371034871,657.5631713867188
V0285,636969.9091909033,3335290.371034871,912.1315307617188
V0286,577959.9091909033,3335260.371034871,583.8413696289062
V0287,645519.9091909033,3335260.371034871,685.3831787109375
V0288,639459.9091909033,3335230.371034871,320.7601013183594
V0289,609789.9091909033,3335200.371034871,1609.56103515625
V0290,619419.9091909033,3335200.371034871,434.71099853515625
V0291,675219.9091909033,3335200.371034871,1094.7509765625
V0292,557949.9091909033,3335140.371034871,671.593994140625
V0293,651909.9091909033,3335080.371034871,815.26953125
V0294,668019.9091909033,3335080.371034871,354.14947509765625
V0295,542949.9091909033,3335050.371034871,500.7166748046875
V0296,580539.9091909033,3335020.371034871,582.2254028320312
V0297,590439.9091909033,3335020.371034871,342.9364013671875
V0298,630429.9091909033,3334990.371034871,932.6817016601562
V0299,563049.9091909033,3334960.371034871,399.5908508300781
